TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION
ACTIVITY_SLOPE_DATA,ACTIVITY_SLOPE_DATA_ACTIVITY_SLOPE_LA,FLOAT,"Calculated Slope of the Left Ankle activity recorded for a participant during exercises, per day"
ACTIVITY_SLOPE_DATA,ACTIVITY_SLOPE_DATA_ACTIVITY_SLOPE_LW,FLOAT,"Calculated Slope of the Left Wrist activity recorded for a participant during exercises, per day"
ACTIVITY_SLOPE_DATA,ACTIVITY_SLOPE_DATA_ACTIVITY_SLOPE_RA,FLOAT,"Calculated Slope of the Right Ankle activity recorded for a participant during exercises, per day"
ACTIVITY_SLOPE_DATA,ACTIVITY_SLOPE_DATA_ACTIVITY_SLOPE_RW,FLOAT,"Calculated Slope of the Right Wrist activity recorded for a participant during exercises, per day"
ACTIVITY_SLOPE_DATA,ACTIVITY_SLOPE_DATA_ACTIVITY_SLOPE_RWLW,FLOAT,"Calculated Slope of the Right Wrist and Left Wrist activity recorded for a participant during exercises, per day"
ACTIVITY_SLOPE_DATA,ACTIVITY_SLOPE_DATA_ACTIVITY_SLOPE_TOTAL,FLOAT,"Calculated Total Slope of all activity recorded for a participant during exercises, per day"
ACTIVITY_SLOPE_DATA,ACTIVITY_SLOPE_DATA_PARTICIPANT_ID,INT,Every participant's Subject ID within the ARC Program. 
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_AVG_ACTUAL_LA,FLOAT,Average score of the Left Ankle activity recorded for a participant during exercises for a given week.
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_AVG_ACTUAL_LW,FLOAT,Average score of the Left Wrist activity recorded for a participant during exercises for a given week. 
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_AVG_ACTUAL_RA,FLOAT,Average score of the Right Ankle activity recorded for a participant during exercises for a given week. 
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_AVG_ACTUAL_RW,FLOAT,Average score of the Right Wrist activity recorded for a participant during exercises for a given week. 
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_AVG_ACTUAL_RWLW,FLOAT,Average score of the Right Wrist and Left Wrist activity recorded for a participant during exercises for a given week. 
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_AVG_ACTUAL_TOTAL,FLOAT,Average Total score of all activity recorded for a participant during exercises for a given week. 
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_AVG_NORMALIZED_LA,FLOAT,Uses Avg Actual La and normalizes to Avg Actual Lw.
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_AVG_NORMALIZED_LW,FLOAT,Uses Avg Actual Lw and normalizes to Avg Actual Lw.
ACTIVITY_TOTALS_DATA,ACTIVITY_TOTALS_DATA_AVG_NORMALIZED_RA,FLOAT,Uses Avg Actual Ra and normalizes to Avg Actual Lw.
