CLS,SUBCLS,IN,RXCUI,NAME,TTY,NDC
Antidiabetics,GLP1 Agonist,semaglutide,1991302,semaglutide,IN,
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,00169413211
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,0169413211
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,00169413212
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,0169413212
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,00169413290
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,0169413290
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,00169413297
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,0169413297
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,50090513800
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,5009051380
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,70518214300
Antidiabetics,GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,7051821430
Antidiabetics,GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,00169413602
Antidiabetics,GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,016941362
Antidiabetics,GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,00169413611
Antidiabetics,GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,0169413611
Antidiabetics,GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,50090513900
Antidiabetics,GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,5009051390
Antidiabetics,GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,00169431401
Antidiabetics,GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,016943141
Antidiabetics,GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,00169431413
Antidiabetics,GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,0169431413
Antidiabetics,GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,00169431430
Antidiabetics,GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,0169431430
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,00169430301
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,016943031
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,00169430313
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,0169430313
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,00169430330
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,0169430330
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,00169430390
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,0169430390
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,00169430393
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,0169430393
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,00169430399
Antidiabetics,GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,0169430399
Antidiabetics,GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,00169430701
Antidiabetics,GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,016943071
Antidiabetics,GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,00169430713
Antidiabetics,GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,0169430713
Antidiabetics,GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,00169430730
Antidiabetics,GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,0169430730
Antidiabetics,GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,00169413001
Antidiabetics,GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,016941301
Antidiabetics,GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,00169413013
Antidiabetics,GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,0169413013
Antidiabetics,GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,50090594900
Antidiabetics,GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,5009059490
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,00169452501
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,016945251
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,00169452514
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,0169452514
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,00169452590
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,0169452590
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,00169452594
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,0169452594
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,50090582400
Antidiabetics,GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,5009058240
Antidiabetics,GLP1 Agonist,semaglutide,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],SBD,00169450501
Antidiabetics,GLP1 Agonist,semaglutide,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],SBD,016945051
Antidiabetics,GLP1 Agonist,semaglutide,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],SBD,00169450514
Antidiabetics,GLP1 Agonist,semaglutide,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],SBD,0169450514
Antidiabetics,GLP1 Agonist,semaglutide,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],SBD,00169450101
Antidiabetics,GLP1 Agonist,semaglutide,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],SBD,016945011
Antidiabetics,GLP1 Agonist,semaglutide,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],SBD,00169450114
Antidiabetics,GLP1 Agonist,semaglutide,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],SBD,0169450114
Antidiabetics,GLP1 Agonist,semaglutide,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],SBD,00169451701
